item,designacion,cantidad,modulo,tipo,material_o_norma,plano,tolerancia_general,ajustes,soldadura,encajes,acabado
27,"Volante de horquilla guia_entrada_liso Ø100/Ø110×40",5,FIJO,FABRICADA,"Acero al carbono",SCO-27,"—","—","—","—","—"
28,"Volante de horquilla guia_salida_liso Ø100/Ø110×40",5,FIJO,FABRICADA,"Acero al carbono",SCO-28,"—","—","—","—","—"
29,"CONDUCIDO Ø108 · casquillo Ø47/Ø35 × 8",1,MÓVIL,FABRICADA,"Aluminio 6061-T6 (o acero mecanizado)",SCO-29,"—","—","—","—","—"
30,"CONDUCIDO Ø108 · casquillo Ø47/Ø35 × 8",1,MÓVIL,FABRICADA,"Aluminio 6061-T6 (o acero mecanizado)",SCO-30,"—","—","—","—","—"
31,"CONDUCIDO Ø108 · eje FIJO Ø35 × 435",1,MÓVIL,FABRICADA,"C45 h9",SCO-31,"—","—","—","—","—"
32,"CONDUCIDO Ø108 · pletina de soporte 117×117×12",2,MÓVIL,FABRICADA,"Acero S275JR cortado por láser",SCO-32,"—","—","—","—","—"
33,"CONDUCIDO Ø108 · tapa-soporte Ø100.8/Ø72 × 29",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-33,"—","—","—","—","—"
34,"CONDUCIDO Ø108 · tapa-soporte Ø100.8/Ø72 × 29",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-34,"—","—","—","—","—"
35,"CONDUCIDO Ø108 · tubo Ø108 × 360",1,MÓVIL,FABRICADA,"Tubo Ø108 × 3.6 EN 10220, acero S275JR",SCO-35,"—","—","—","—","—"
36,"PG40 · Alargue lateral · alma −X (pletina Acero A36 (S275JR) e=8, L=1410)",1,MÓVIL,FABRICADA,"Acero al carbono",SCO-36,"—","—","—","—","—"
37,"PG40 · Alargue lateral · alma norte +X (pletina Acero A36 (S275JR) e=8, L=549)",1,MÓVIL,FABRICADA,"Acero al carbono",SCO-37,"—","—","—","—","—"
38,"PG40 · Alargue lateral · alma sur +X (pletina Acero A36 (S275JR) e=8, L=327)",1,MÓVIL,FABRICADA,"Acero al carbono",SCO-38,"—","—","—","—","—"
39,"PG40 · Alargue lateral · cabezal de rodamiento conducido +X (pletina de eje fijo Ø35 + collar de apriete (NO lleva UCF 207: los rodamientos van DENTRO del tubo, eje fijo pasante — instrucción del cliente), eje Y -1607.4 Z -2.3)",1,MÓVIL,FABRICADA,"Tubo de acero ST37",SCO-39,"—","—","—","—","—"
40,"PG40 · Alargue lateral · cabezal de rodamiento conducido −X (pletina de eje fijo Ø35 + collar de apriete (NO lleva UCF 207: los rodamientos van DENTRO del tubo, eje fijo pasante — instrucción del cliente), eje Y -1607.4 Z -2.3)",1,MÓVIL,FABRICADA,"Tubo de acero ST37",SCO-40,"—","—","—","—","—"
41,"PG40 · Alargue lateral · cabezal de rodamiento motriz +X",1,MÓVIL,FABRICADA,"Acero al carbono",SCO-41,"—","—","—","—","—"
42,"PG40 · Alargue lateral · cabezal de rodamiento motriz −X",1,MÓVIL,FABRICADA,"Acero al carbono",SCO-42,"—","—","—","—","—"
43,"PG40 · Alargue lateral · tramo de lap +X (Y -1208…-1090, Acero A36 (S275JR) e=5.9)",1,MÓVIL,FABRICADA,"Acero al carbono",SCO-43,"—","—","—","—","—"
44,"PG40 · Alargue lateral · tramo de lap +X (Y -855…-739, Acero A36 (S275JR) e=5.9)",1,MÓVIL,FABRICADA,"Acero al carbono",SCO-44,"—","—","—","—","—"
45,"PG40 · Cartela de rodillos de retorno RR1+RR2 −X",1,MÓVIL,FABRICADA,"Acero al carbono",SCO-45,"—","—","—","—","—"
46,"PG40 · Cartela de rodillos de retorno RR3+RR4 −X",1,MÓVIL,FABRICADA,"Acero al carbono",SCO-46,"—","—","—","—","—"
47,"PG40 · Cubrejunta alma↔cabezal conducido +X (Acero A36 (S275JR) e=8)",1,MÓVIL,FABRICADA,"Acero al carbono",SCO-47,"—","—","—","—","—"
48,"PG40 · Cubrejunta alma↔cabezal conducido −X (Acero A36 (S275JR) e=8)",1,MÓVIL,FABRICADA,"Acero al carbono",SCO-48,"—","—","—","—","—"
49,"PG40 · Cubrejunta alma↔cabezal motriz +X (Acero A36 (S275JR) e=8)",1,MÓVIL,FABRICADA,"Acero al carbono",SCO-49,"—","—","—","—","—"
50,"PG40 · Cubrejunta alma↔cabezal motriz −X (Acero A36 (S275JR) e=8)",1,MÓVIL,FABRICADA,"Acero al carbono",SCO-50,"—","—","—","—","—"
51,"PG40 · Cubrejunta alma↔lap +X",1,MÓVIL,FABRICADA,"Acero al carbono",SCO-51,"—","—","—","—","—"
52,"PG40 · Cubrejunta alma↔lap +X",1,MÓVIL,FABRICADA,"Acero al carbono",SCO-52,"—","—","—","—","—"
53,"PG40 · Escuadra larguero↔travesaño",20,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-53,"—","—","—","—","—"
54,"PG40 · Guía UHMW 31.75×169.18",5,MÓVIL,FABRICADA,"UHMW-PE 1000",SCO-54,"—","—","—","—","—"
55,"PG40 · Guía UHMW 31.75×200",10,MÓVIL,FABRICADA,"UHMW-PE 1000",SCO-55,"—","—","—","—","—"
56,"PG40 · Guía UHMW 31.75×99.218",5,MÓVIL,FABRICADA,"UHMW-PE 1000",SCO-56,"—","—","—","—","—"
57,"PG40 · Larguero de calle 40×40 ranura 10 tramo conducido L=249.181",5,MÓVIL,FABRICADA,"Acero al carbono",SCO-57,"—","—","—","—","—"
58,"PG40 · Larguero de calle 40×40 ranura 10 tramo motriz L=572",5,MÓVIL,FABRICADA,"Acero al carbono",SCO-58,"—","—","—","—","—"
59,"PG40 · Ménsula alma↔travesaño +X",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-59,"—","—","—","—","—"
60,"PG40 · Ménsula alma↔travesaño +X",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-60,"—","—","—","—","—"
61,"PG40 · Ménsula alma↔travesaño −X",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-61,"—","—","—","—","—"
62,"PG40 · Ménsula alma↔travesaño −X",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-62,"—","—","—","—","—"
63,"PG40 · Travesaño 40×40 ranura 10 L=423.924",2,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-63,"—","—","—","—","—"
64,"PG40 · Travesaño 40×40 ranura 10 L=580.841",2,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-64,"—","—","—","—","—"
65,"RETORNO RR1 Ø88.9 · casquillo Ø42/Ø30 × 8",1,MÓVIL,FABRICADA,"Aluminio 6061-T6 (o acero mecanizado)",SCO-65,"—","—","—","—","—"
66,"RETORNO RR1 Ø88.9 · casquillo Ø42/Ø30 × 8",1,MÓVIL,FABRICADA,"Aluminio 6061-T6 (o acero mecanizado)",SCO-66,"—","—","—","—","—"
67,"RETORNO RR1 Ø88.9 · eje FIJO Ø30 × 435",1,MÓVIL,FABRICADA,"C45 h9",SCO-67,"—","—","—","—","—"
68,"RETORNO RR1 Ø88.9 · pletina de soporte 100×100×12",2,MÓVIL,FABRICADA,"Acero S275JR cortado por láser",SCO-68,"—","—","—","—","—"
69,"RETORNO RR1 Ø88.9 · tapa-soporte Ø82.5/Ø62 × 28",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-69,"—","—","—","—","—"
70,"RETORNO RR1 Ø88.9 · tapa-soporte Ø82.5/Ø62 × 28",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-70,"—","—","—","—","—"
71,"RETORNO RR1 Ø88.9 · tubo Ø88.9 × 360",1,MÓVIL,FABRICADA,"Tubo Ø88.9 × 3.2",SCO-71,"—","—","—","—","—"
72,"RETORNO RR2 Ø88.9 · casquillo Ø42/Ø30 × 8",1,MÓVIL,FABRICADA,"Aluminio 6061-T6 (o acero mecanizado)",SCO-72,"—","—","—","—","—"
73,"RETORNO RR2 Ø88.9 · casquillo Ø42/Ø30 × 8",1,MÓVIL,FABRICADA,"Aluminio 6061-T6 (o acero mecanizado)",SCO-73,"—","—","—","—","—"
74,"RETORNO RR2 Ø88.9 · eje FIJO Ø30 × 435",1,MÓVIL,FABRICADA,"C45 h9",SCO-74,"—","—","—","—","—"
75,"RETORNO RR2 Ø88.9 · pletina de soporte 100×100×12",2,MÓVIL,FABRICADA,"Acero S275JR cortado por láser",SCO-75,"—","—","—","—","—"
76,"RETORNO RR2 Ø88.9 · tapa-soporte Ø82.5/Ø62 × 28",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-76,"—","—","—","—","—"
77,"RETORNO RR2 Ø88.9 · tapa-soporte Ø82.5/Ø62 × 28",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-77,"—","—","—","—","—"
78,"RETORNO RR2 Ø88.9 · tubo Ø88.9 × 360",1,MÓVIL,FABRICADA,"Tubo Ø88.9 × 3.2",SCO-78,"—","—","—","—","—"
79,"RETORNO RR3 Ø88.9 · casquillo Ø42/Ø30 × 8",1,MÓVIL,FABRICADA,"Aluminio 6061-T6 (o acero mecanizado)",SCO-79,"—","—","—","—","—"
80,"RETORNO RR3 Ø88.9 · casquillo Ø42/Ø30 × 8",1,MÓVIL,FABRICADA,"Aluminio 6061-T6 (o acero mecanizado)",SCO-80,"—","—","—","—","—"
81,"RETORNO RR3 Ø88.9 · eje FIJO Ø30 × 435",1,MÓVIL,FABRICADA,"C45 h9",SCO-81,"—","—","—","—","—"
82,"RETORNO RR3 Ø88.9 · pletina de soporte 100×100×12",2,MÓVIL,FABRICADA,"Acero S275JR cortado por láser",SCO-82,"—","—","—","—","—"
83,"RETORNO RR3 Ø88.9 · tapa-soporte Ø82.5/Ø62 × 28",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-83,"—","—","—","—","—"
84,"RETORNO RR3 Ø88.9 · tapa-soporte Ø82.5/Ø62 × 28",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-84,"—","—","—","—","—"
85,"RETORNO RR3 Ø88.9 · tubo Ø88.9 × 360",1,MÓVIL,FABRICADA,"Tubo Ø88.9 × 3.2",SCO-85,"—","—","—","—","—"
86,"RETORNO RR4 Ø88.9 · casquillo Ø42/Ø30 × 8",1,MÓVIL,FABRICADA,"Aluminio 6061-T6 (o acero mecanizado)",SCO-86,"—","—","—","—","—"
87,"RETORNO RR4 Ø88.9 · casquillo Ø42/Ø30 × 8",1,MÓVIL,FABRICADA,"Aluminio 6061-T6 (o acero mecanizado)",SCO-87,"—","—","—","—","—"
88,"RETORNO RR4 Ø88.9 · eje FIJO Ø30 × 435",1,MÓVIL,FABRICADA,"C45 h9",SCO-88,"—","—","—","—","—"
89,"RETORNO RR4 Ø88.9 · pletina de soporte 100×100×12",2,MÓVIL,FABRICADA,"Acero S275JR cortado por láser",SCO-89,"—","—","—","—","—"
90,"RETORNO RR4 Ø88.9 · tapa-soporte Ø82.5/Ø62 × 28",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-90,"—","—","—","—","—"
91,"RETORNO RR4 Ø88.9 · tapa-soporte Ø82.5/Ø62 × 28",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-91,"—","—","—","—","—"
92,"RETORNO RR4 Ø88.9 · tubo Ø88.9 × 360",1,MÓVIL,FABRICADA,"Tubo Ø88.9 × 3.2",SCO-92,"—","—","—","—","—"
93,"TAMBOR · engomado 10 → Ø108.9 × 370",1,MÓVIL,FABRICADA,"Caucho natural/SBR 60 ± 5 Sh A vulcanizado en caliente, 10 mm, cara lisa",SCO-93,"—","—","—","—","—"
94,"TAMBOR · tapa soldada Ø82.5/Ø35 e=12",1,MÓVIL,FABRICADA,"Disco S275JR e=12 torneado Ø82.5 h8 / barreno Ø35 H7, soldado al tubo (cordón de rincón 4 mm) y al eje (2 cordones de 5 mm)",SCO-94,"—","—","—","—","—"
95,"TAMBOR · tapa soldada Ø82.5/Ø35 e=12",1,MÓVIL,FABRICADA,"Disco S275JR e=12 torneado Ø82.5 h8 / barreno Ø35 H7, soldado al tubo (cordón de rincón 4 mm) y al eje (2 cordones de 5 mm)",SCO-95,"—","—","—","—","—"
96,"TAMBOR · tubo Ø88.9 × 380",1,MÓVIL,FABRICADA,"Tubo Ø88.9 × 3.2 EN 10220 / ASTM A513, acero S275JR",SCO-96,"—","—","—","—","—"
97,"Bisagra trasera SMC C85C25",5,FIJO,COMPRADA,"SMC C85C25 — bisagra trasera (clevis) para C85 Ø20/25 · web PNEU-007",—,"—","—","—","—","—"
98,"Chumacera SKF UCFL 206",2,FIJO,COMPRADA,"SKF UCFL 206 — soporte de brida oval, eje 30, entre taladros 108",—,"—","—","—","—","—"
99,"Cilindro SMC CD85N25-80-B Ø25 carrera 80",5,FIJO,COMPRADA,"SMC CD85N25-80-B — ISO 6432, doble efecto, vástago simple · web PNEU-001/002",—,"—","—","—","—","—"
100,"Collar de apriete Ø50×15",1,FIJO,COMPRADA,"PENDIENTE — collar de apriete partido Ø30, tipo DIN 705 A / abrazadera",—,"—","—","—","—","—"
101,"Línea de aire PU Ø6 — AR20 → calle 1",1,FIJO,COMPRADA,"tubo PU Ø6×4 (el que piden los KQ2L06 y el AS2201FS)",—,"—","—","—","—","—"
102,"Línea de aire PU Ø6 — AR20 → calle 2",1,FIJO,COMPRADA,"tubo PU Ø6×4 (el que piden los KQ2L06 y el AS2201FS)",—,"—","—","—","—","—"
103,"Línea de aire PU Ø6 — AR20 → calle 3",1,FIJO,COMPRADA,"tubo PU Ø6×4 (el que piden los KQ2L06 y el AS2201FS)",—,"—","—","—","—","—"
104,"Línea de aire PU Ø6 — AR20 → calle 4",1,FIJO,COMPRADA,"tubo PU Ø6×4 (el que piden los KQ2L06 y el AS2201FS)",—,"—","—","—","—","—"
105,"Línea de aire PU Ø6 — AR20 → calle 5",1,FIJO,COMPRADA,"tubo PU Ø6×4 (el que piden los KQ2L06 y el AS2201FS)",—,"—","—","—","—","—"
106,"Racor codo SMC KQ2L06-01AS",5,FIJO,COMPRADA,"SMC KQ2L06-01AS — codo instantáneo macho R1/8 ↔ tubo Ø6 · web PNEU-008",—,"—","—","—","—","—"
107,"Regulador de caudal SMC AS2201FS-01-06S",5,FIJO,COMPRADA,"SMC AS2201FS-01-06S — regulador de caudal codo, meter-out, R1/8, tubo Ø6 · web PNEU-004",—,"—","—","—","—","—"
108,"Regulador de PRESIÓN SMC AR20-02-B",1,FIJO,COMPRADA,"SMC AR20-02-B — regulador de presión modular serie AR, R1/4 · web PNEU-009",—,"—","—","—","—","—"
109,"Rótula de vástago SMC KJ10D",5,FIJO,COMPRADA,"SMC KJ10D — horquilla de vástago con rótula, M10×1.25, bulón y seguro ISO 8140 · web PNEU-006",—,"—","—","—","—","—"
110,"Silenciador SMC AN101-01",5,FIJO,COMPRADA,"SMC AN101-01 — silenciador serie AN, R1/8 · web PNEU-005",—,"—","—","—","—","—"
111,"TAMBOR · eje Ø35 × 710 con saliente y chavetero",1,MÓVIL,COMPRADA,"eje_tambor_35",—,"—","—","—","—","—"
112,"Anillo retención 3AM1-20 tensora +X (calle 1, X=127.056) Ø20",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
113,"Anillo retención 3AM1-20 tensora +X (calle 2, X=203.256) Ø20",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
114,"Anillo retención 3AM1-20 tensora +X (calle 3, X=279.456) Ø20",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
115,"Anillo retención 3AM1-20 tensora +X (calle 4, X=355.656) Ø20",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
116,"Anillo retención 3AM1-20 tensora +X (calle 5, X=431.856) Ø20",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
117,"Anillo retención 3AM1-20 tensora −X (calle 1, X=127.056) Ø20",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
118,"Anillo retención 3AM1-20 tensora −X (calle 2, X=203.256) Ø20",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
119,"Anillo retención 3AM1-20 tensora −X (calle 3, X=279.456) Ø20",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
120,"Anillo retención 3AM1-20 tensora −X (calle 4, X=355.656) Ø20",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
121,"Anillo retención 3AM1-20 tensora −X (calle 5, X=431.856) Ø20",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
122,"Anillo retención bulón rótula +X (calle 1, X=127.056) Ø10",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
123,"Anillo retención bulón rótula +X (calle 2, X=203.256) Ø10",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
124,"Anillo retención bulón rótula +X (calle 3, X=279.456) Ø10",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
125,"Anillo retención bulón rótula +X (calle 4, X=355.656) Ø10",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
126,"Anillo retención bulón rótula +X (calle 5, X=431.856) Ø10",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
127,"Anillo retención bulón rótula −X (calle 1, X=127.056) Ø10",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
128,"Anillo retención bulón rótula −X (calle 2, X=203.256) Ø10",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
129,"Anillo retención bulón rótula −X (calle 3, X=279.456) Ø10",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
130,"Anillo retención bulón rótula −X (calle 4, X=355.656) Ø10",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
131,"Anillo retención bulón rótula −X (calle 5, X=431.856) Ø10",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
132,"Anillo retención bulón trasero +X (calle 1, X=127.056) Ø8",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
133,"Anillo retención bulón trasero +X (calle 2, X=203.256) Ø8",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
134,"Anillo retención bulón trasero +X (calle 3, X=279.456) Ø8",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
135,"Anillo retención bulón trasero +X (calle 4, X=355.656) Ø8",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
136,"Anillo retención bulón trasero +X (calle 5, X=431.856) Ø8",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
137,"Anillo retención bulón trasero −X (calle 1, X=127.056) Ø8",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
138,"Anillo retención bulón trasero −X (calle 2, X=203.256) Ø8",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
139,"Anillo retención bulón trasero −X (calle 3, X=279.456) Ø8",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
140,"Anillo retención bulón trasero −X (calle 4, X=355.656) Ø8",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
141,"Anillo retención bulón trasero −X (calle 5, X=431.856) Ø8",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
142,"Anillo retención eje pivote +X Ø30",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
143,"Anillo retención eje pivote −X Ø30",1,FIJO,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
144,"Bulón trasero Ø8×44",5,FIJO,COMPRADA,"ISO 2341 B — bulón Ø8 con taladro de pasador",—,"—","—","—","—","—"
145,"Casquillo de fricción Ø30/Ø38×25 con brida (+X)",5,FIJO,COMPRADA,"PENDIENTE — casquillo de fricción con brida Ø30 int × Ø38 ext × 25",—,"—","—","—","—","—"
146,"Casquillo de fricción Ø30/Ø38×25 con brida (−X)",5,FIJO,COMPRADA,"PENDIENTE — casquillo de fricción con brida Ø30 int × Ø38 ext × 25",—,"—","—","—","—","—"
147,"CONDUCIDO · Anillo retención CONDUCIDO Ø108 (+X) Ø35",1,MÓVIL,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
148,"CONDUCIDO · Anillo retención CONDUCIDO Ø108 (−X) Ø35",1,MÓVIL,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
149,"CONDUCIDO · Perno hex M12 soporte CONDUCIDO Ø108",4,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
150,"CONDUCIDO · Perno hex M12 soporte CONDUCIDO Ø108",4,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
151,"CONDUCIDO · Rodamiento 6207-2RS (CONDUCIDO Ø108, +X)",1,MÓVIL,COMPRADA,"rodamiento_35x72x17",—,"—","—","—","—","—"
152,"CONDUCIDO · Rodamiento 6207-2RS (CONDUCIDO Ø108, −X)",1,MÓVIL,COMPRADA,"rodamiento_35x72x17",—,"—","—","—","—","—"
153,"CONDUCIDO Ø108 · collar de apriete partido Ø35",1,MÓVIL,COMPRADA,"DIN 705 A",—,"—","—","—","—","—"
154,"CONDUCIDO Ø108 · collar de apriete partido Ø35",1,MÓVIL,COMPRADA,"DIN 705 A",—,"—","—","—","—","—"
155,"Golilla 3/8 cuelgue (+X, Y=-1145) Ø9.6",1,FIJO,COMPRADA,"DIN 125 / ASME B18.22.1",—,"—","—","—","—","—"
156,"Golilla 3/8 cuelgue (+X, Y=-802) Ø9.6",1,FIJO,COMPRADA,"DIN 125 / ASME B18.22.1",—,"—","—","—","—","—"
157,"Golilla 3/8 cuelgue (−X, Y=-1145) Ø9.6",1,FIJO,COMPRADA,"DIN 125 / ASME B18.22.1",—,"—","—","—","—","—"
158,"Golilla 3/8 cuelgue (−X, Y=-802) Ø9.6",1,FIJO,COMPRADA,"DIN 125 / ASME B18.22.1",—,"—","—","—","—","—"
159,"Perno hex 3/8-16×1"" cuelgue NBT90",2,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
160,"Perno hex 3/8-16×2"" cuelgue NBT90",2,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
161,"Perno hex M12×45 UCFL pivote +X",2,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
162,"Perno hex M12×45 UCFL pivote −X",2,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
163,"Perno hex M8×12 CT-ENS↔perfil",10,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
164,"Perno hex M8×12 CT-ENS↔perfil",10,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
