plano,pieza,x_mm,y_mm,diametro_mm
CUD-01,"FAB · Cuerpo lateral externo C90°",1239.76,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",1291.76,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",1574.53,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",1626.53,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",2034.63,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",2086.63,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",32.26,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",96.77,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",161.29,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",225.80,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",290.32,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",354.83,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",419.35,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",483.86,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",548.38,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",612.89,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",677.41,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",741.92,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",806.44,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",870.95,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",935.47,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",999.98,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",1064.50,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",1129.01,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",1193.52,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",1258.04,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",1322.55,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C90°",64.51,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",129.03,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",193.54,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",258.06,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",322.57,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",387.09,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",451.60,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",516.12,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",580.63,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",645.15,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",709.66,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",774.18,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",838.69,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",903.21,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",967.72,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",1032.24,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",1096.75,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",1161.27,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",1225.78,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",1290.30,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C90°",64.51,112.00,9.00
CUD-02,"FAB · Cuerpo lateral interno C90°",387.09,112.00,9.00
CUD-02,"FAB · Cuerpo lateral interno C90°",645.15,112.00,9.00
CUD-02,"FAB · Cuerpo lateral interno C90°",709.66,112.00,9.00
CUD-02,"FAB · Cuerpo lateral interno C90°",967.72,112.00,9.00
CUD-02,"FAB · Cuerpo lateral interno C90°",1290.30,112.00,9.00
CUD-02,"FAB · Cuerpo lateral interno C90°",21.20,102.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C90°",430.40,102.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C90°",472.80,102.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C90°",882.01,102.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C90°",924.41,102.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C90°",1333.61,102.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C90°",21.20,27.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C90°",430.40,27.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C90°",472.80,27.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C90°",882.01,27.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C90°",924.41,27.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C90°",1333.61,27.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C90°",57.95,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",109.95,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",341.71,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",393.71,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",548.17,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",600.17,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",754.64,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",806.64,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",961.10,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",1013.10,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",1244.86,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",1296.86,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",57.95,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",109.95,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",341.71,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",393.71,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",548.17,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",600.17,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",754.64,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",806.64,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",961.10,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",1013.10,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",1244.86,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",1296.86,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",338.70,64.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",564.55,64.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",790.26,64.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C90°",1016.11,64.90,10.50
CUD-05,"FAB · Refuerzo externo superior C90°",106.04,115.52,11.00
CUD-05,"FAB · Refuerzo externo superior C90°",337.91,517.17,11.00
CUD-05,"FAB · Refuerzo externo superior C90°",418.09,845.69,11.00
CUD-05,"FAB · Refuerzo externo superior C90°",418.09,1183.85,11.00
CUD-05,"FAB · Refuerzo externo superior C90°",337.91,1512.37,11.00
CUD-05,"FAB · Refuerzo externo superior C90°",106.04,1914.02,11.00
CUD-05,"FAB · Refuerzo externo superior C90°",28.35,28.57,11.00
CUD-05,"FAB · Refuerzo externo superior C90°",374.33,627.83,11.00
CUD-05,"FAB · Refuerzo externo superior C90°",385.30,668.79,11.00
CUD-05,"FAB · Refuerzo externo superior C90°",385.30,1360.75,11.00
CUD-05,"FAB · Refuerzo externo superior C90°",374.33,1401.71,11.00
CUD-05,"FAB · Refuerzo externo superior C90°",28.35,2000.97,11.00
CUD-06,"FAB · Refuerzo interno superior C90°",68.71,74.36,11.00
CUD-06,"FAB · Refuerzo interno superior C90°",207.06,314.02,11.00
CUD-06,"FAB · Refuerzo interno superior C90°",254.91,510.05,11.00
CUD-06,"FAB · Refuerzo interno superior C90°",254.91,711.83,11.00
CUD-06,"FAB · Refuerzo interno superior C90°",207.06,907.86,11.00
CUD-06,"FAB · Refuerzo interno superior C90°",68.71,1147.52,11.00
CUD-06,"FAB · Refuerzo interno superior C90°",28.27,28.65,11.00
CUD-06,"FAB · Refuerzo interno superior C90°",226.42,371.84,11.00
CUD-06,"FAB · Refuerzo interno superior C90°",237.39,412.80,11.00
CUD-06,"FAB · Refuerzo interno superior C90°",237.39,809.08,11.00
CUD-06,"FAB · Refuerzo interno superior C90°",226.42,850.04,11.00
CUD-06,"FAB · Refuerzo interno superior C90°",28.27,1193.23,11.00
