codigo;nombre;familia;cantidad;material;proceso;largo_mm;desarrollo_mm;espesor_mm;pliegues;agujeros;largo_corte_mm;masa_kg;masa_total_kg;nota
MAD-ESTANTE;Estante inferior — roble 620x300x19;madera;1;roble macizo e19;corte + canteado + aceite;;;;;;;2.668;2.668;Una sola tabla y 19 mm: el roble es el material más caro por kg del producto
SOP-MESA;Cabezal del poste (recibe la mesa de roble);chapa CNC;2;chapa de acero e3;corte láser + plegado;;220 x 80;;0;5;692.0;0.411;0.822;
ASA-SOP;Soporte de asa de roble;chapa CNC;4;chapa de acero e3;corte láser + plegado;;179.5 x 34;;1;3;485.0;0.142;0.568;2 para el asa de roble de la tapa y 2 para la barra de empuje frontal
MAD-ASA;Asa de la tapa — roble 45x45x380;madera;1;roble macizo;corte + redondeo + aceite;;;;;;;0.581;0.581;
MAD-BARRA;Barra frontal (maniobra / utensilios) — roble 45x45x850;madera;1;roble macizo;corte + redondeo + aceite;;;;;;;1.3;1.3;"Para maniobrar la parrilla y colgar utensilios; rigidiza el frente"
NIV-PATA;Nivelador M10 con base Ø50 (regulable);tornillería;6;acero + nylon;comprado;;;;;;;0.09;0.54;
TOR-M6;Perno M6 + golilla ancha + tuerca de brida serrada (chapa/tambor);tornillería;40;acero zincado 8.8;comprado;;;;;;;0.012;0.48;Golilla ancha del lado del tambor: reparte sobre la chapa de 1,1 mm
TOR-M5;Perno M5 x 16 + tuerca de brida (perfiles de canto);tornillería;20;acero zincado;comprado;;;;;;;0.007;0.14;
TIR-MADERA;Tirafondo 5x40 cabeza plana (madera desde abajo);tornillería;12;acero zincado;comprado;;;;;;;0.008;0.096;Toda la madera se fija DESDE ABAJO: cara superior sin tornillos a la vista
PLA-VIROLA;Plantilla de taladrado de la virola (utillaje);utillaje;1;chapa de acero e3;corte láser + plegado (utillaje, no va con el producto);;851 x 79.5;;1;9;2055.0;1.583;1.583;El labio plegado se apoya en el canto cortado: referencia sin medir
