item,tipo,item_desc,cant_equipo,cant_proyecto,origen,referencia,plano_corte,plano_vistas,material,desarrollo,masa_kg,area_m2_pintar,bbox_m2_plancha
30,TORNILLERÍA,Perno hex M6×16 8.8 + tuerca + golillas (clips portacarril),4,16,local,,,,clips del portacarril → alma (2 por lado),,,undefined,undefined
31,TORNILLERÍA,Perno M6×20 avellanado (carril de apoyo),7,28,local,,,,"portacarril → pletina del carril ROSCADA M6 (desde abajo, 1 por carril por portacarril)",,,undefined,undefined
32,TORNILLERÍA,Perno hex M8×20 8.8 + tuerca + golillas (bracket soporte),16,64,local,,,,"ala del bracket B_005A → ala inferior del canal, por ranuras cruciformes (4 por bracket — regulación en 2 ejes)",,,undefined,undefined
33,TORNILLERÍA,Perno hex M10×30 8.8 + tuerca + golillas (mechas),12,48,local,,,,"mecha PL8 → alma (6 por mecha — Rev.C apernada, sin soldadura)",,,undefined,undefined
34,TORNILLERÍA,Perno hex M6×16 8.8 + tuerca + golillas (clips cabezal),8,32,local,,,,clips del cabezal porta-nosebar → alma (2 por extremo),,,undefined,undefined
35,TORNILLERÍA,Perno hex M10×30 8.8 + tuerca + golilla ancha (apriete telescópico),12,48,local,,,,aprieta la tira BR_3002 contra la columna en las ranuras 11×20 que calcen (3 por pata — ajuste de ALTURA; vernier con la ranura 11×110 de la columna),,,undefined,undefined
36,TORNILLERÍA,Perno de anclaje M10×90 (piso),8,32,local,,,,pata B_004A de la tira → losa (2 por pata),,,undefined,undefined
37,TORNILLERÍA,Perno pivote M10×25 + tuerca (pivote y arco de aplome),8,32,local,,,,columna → bracket B_005A: 1 pivote + 1 perno viajando por la RANURA EN ARCO (aplome angular),,,undefined,undefined
38,TORNILLERÍA,Perno hex M6×12 8.8,8,32,local,,,,faldón de guarda → roscados M6 de la mecha,,,undefined,undefined
39,TORNILLERÍA,Perno hex M8×30 8.8 + tuerca + golilla,36,144,local,,,,nosebar → cabezal (tuerca por cara interior),,,undefined,undefined
40,TORNILLERÍA,Perno hex M10×35 8.8 + tuerca + golilla plana y presión,8,32,local,,,,"brida UCF206 → mecha, pasante con tuerca (4 por chumacera; agujero brida y mecha Ø12 → perno M10 holgura estándar)",,,undefined,undefined
41,FABRICADA,Clip ángulo — pieza menor SOLDADA (40×30×40) · 2×Ø7.0,2,8,maestranza / taller,,,ficha de soldadura (GA),Perfil 30×30×3 — corte a largo + barrenos,40×30×40,,,
42,FABRICADA,Clip ángulo cabezal — pieza menor SOLDADA (4×60×48) · 2×Ø7.0,2,8,maestranza / taller,,,ficha de soldadura (GA),Perfil 40×40×4 — corte a largo + barrenos,4×60×48,,,
43,FABRICADA,Clip ángulo cabezal — pieza menor SOLDADA (4×60×48) · 2×Ø7.0,2,8,maestranza / taller,,,ficha de soldadura (GA),Perfil 40×40×4 — corte a largo + barrenos,4×60×48,,,
