item,designacion,cantidad,modulo,tipo,material_o_norma,plano,tolerancia_general,ajustes,soldadura,encajes,acabado
13,"Tapa extremo canal base 12 GA 88×67",1,FIJO,FABRICADA,"Chapa de acero 0.105"" conformada, galvanizada",NBT90-13,"tol. gral. ISO 2768-mK · conjunto soldado ISO 13920-BF · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a1.86 AWS D1.3/D1.3M","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U4--Y-pos ranura/posicion · U4--Y-paso ranura/paso","—"
14,"Brazo de empuje de la horquilla 75×62×22",2,MÓVIL,FABRICADA,"Chapa de acero 0.866"", galvanizada",NBT90-14,"tol. gral. ISO 2768-mK · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
15,"Cross angle 1-3/4""×1"" 12 GA × 215.9",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"", galvanizada",NBT90-15,"tol. gral. ISO 2768-mK · conjunto soldado ISO 13920-BF · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a1.86 AWS D1.3/D1.3M","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U3-+Y-a pasador/posicion · U3-+Y-b pasador/paso · U3-solape-+Y tope/tope","—"
16,"Cross angle 1-3/4""×1"" 12 GA × 215.9",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"", galvanizada",NBT90-16,"tol. gral. ISO 2768-mK · conjunto soldado ISO 13920-BF · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a1.86 AWS D1.3/D1.3M","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U3--Y-a pasador/posicion · U3--Y-b pasador/paso · U3-solape--Y tope/tope","—"
17,"Ménsula de anclaje de la horquilla 3/16"" 73.64×60.97",2,MÓVIL,FABRICADA,"Chapa de acero 0.187"", galvanizada",NBT90-17,"tol. gral. ISO 2768-mK · conjunto soldado ISO 13920-BF · colisa 7,0 H13 × 11 (vertical) holgura 0,65 mm en X · ±2,0 mm en Z · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a1.86 AWS D1.3/D1.3M","colisa 7,0 H13 × 11 (vertical) holgura 0,65 mm en X · ±2,0 mm en Z (las dos direcciones NO son iguales, y ahí está el ajuste: en X el taladro es CERRADO (0,65 mm, el mismo criterio de AJ-11) y sitúa; en Z es colisa, porque quien fija Z es el APOYO PLANO del brazo contra el alma del canal y el perno no puede competir con él. Los ±2 mm de recorrido son ISO 13920-B sobre los 368,5 mm del canal soldado al que va la ménsula. La unión trabaja por rozamiento bajo la golilla (2 819 N por perno).) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U6-+Y tope/tope","—"
18,"Notched brace channel 1-3/4""×40 12 GA × 368.52",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" conformada, galvanizada",NBT90-18,"tol. gral. ISO 2768-mK · conjunto soldado ISO 13920-BF · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a1.86 AWS D1.3/D1.3M","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U2-motriz-+Y-pos lengueta/posicion · U2-motriz-+Y-paso lengueta/paso · U2-libre-+Y-pos lengueta/posicion · U2-libre-+Y-paso lengueta/paso · U3-+Y-a pasador/posicion · U3-+Y-b pasador/paso","—"
19,"Notched brace channel 1-3/4""×40 12 GA × 368.52",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" conformada, galvanizada",NBT90-19,"tol. gral. ISO 2768-mK · conjunto soldado ISO 13920-BF · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a1.86 AWS D1.3/D1.3M","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U2-motriz--Y-pos lengueta/posicion · U2-motriz--Y-paso lengueta/paso · U2-libre--Y-pos lengueta/posicion · U2-libre--Y-paso lengueta/paso · U3--Y-a pasador/posicion · U3--Y-b pasador/paso","—"
20,"Placa de apriete del tensor 1/4""×24×40",1,MÓVIL,FABRICADA,"Chapa de acero 0.25"", galvanizada",NBT90-20,"tol. gral. ISO 2768-mK · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
21,"Placa peine 3/16"" 432×293.26",1,MÓVIL,FABRICADA,"Chapa de acero 0.187"", galvanizada",NBT90-21,"tol. gral. ISO 2768-mK · conjunto soldado ISO 13920-BF · Ø7,0 H12 holgura 0,65 mm sobre el vástago Ø6,35 · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a3.33 AWS D1.3/D1.3M","Ø7,0 H12 holgura 0,65 mm sobre el vástago Ø6,35 (taladro de POSICIÓN, no de paso: el vástago hace de pasador y toma la carga radial del rodillo. Un taladro de paso normal de 1/4"" sería Ø7,95 (holgura 1,6).) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=3.33 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U1-motriz-+Y ranura/posicion · U1-motriz--Y ranura/posicion","—"
22,"Placa peine 3/16"" 432×293.26",1,MÓVIL,FABRICADA,"Chapa de acero 0.187"", galvanizada",NBT90-22,"tol. gral. ISO 2768-mK · conjunto soldado ISO 13920-BF · Ø7,0 H12 holgura 0,65 mm sobre el vástago Ø6,35 · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a3.33 AWS D1.3/D1.3M","Ø7,0 H12 holgura 0,65 mm sobre el vástago Ø6,35 (taladro de POSICIÓN, no de paso: el vástago hace de pasador y toma la carga radial del rodillo. Un taladro de paso normal de 1/4"" sería Ø7,95 (holgura 1,6).) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=3.33 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U1-libre-+Y ranura/posicion · U1-libre--Y ranura/posicion","—"
23,"Placa soporte de transmisión 1/4""×374×150 c/colisa tensor",1,MÓVIL,FABRICADA,"Chapa de acero 0.25"", galvanizada",NBT90-23,"tol. gral. ISO 13920-BF · conjunto soldado ISO 13920-BF · Ø60 H8 H8/h8 · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a4.44 AWS D1.1/D1.1M","Ø60 H8 H8/h8 (resalte de centraje de una brida IEC: tiene que centrar, no apretar. Con H8/h8 el juego máximo es 0,092 mm; el modelo dibuja 0,05 de radio para que el sólido no se solape.) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=4.44 · AWS D1.1/D1.1M — Structural Welding Code, Steel; símbolo según ISO 2553","U6-pestana--Y lengueta/posicion · U6-pestana-+Y lengueta/posicion · U6-doblador tope/tope","—"
24,"Spacer plate 3/16"" 370×80",1,MÓVIL,FABRICADA,"Chapa de acero 0.187"", galvanizada",NBT90-24,"tol. gral. ISO 2768-mK · conjunto soldado ISO 13920-BF · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a3.33 AWS D1.3/D1.3M","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=3.33 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U2-motriz-+Y-pos ranura/posicion · U2-motriz-+Y-paso ranura/paso · U2-motriz--Y-pos ranura/posicion · U2-motriz--Y-paso ranura/paso","—"
25,"Spacer plate 3/16"" 370×80",1,MÓVIL,FABRICADA,"Chapa de acero 0.187"", galvanizada",NBT90-25,"tol. gral. ISO 2768-mK · conjunto soldado ISO 13920-BF · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a3.33 AWS D1.3/D1.3M","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=3.33 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U2-libre-+Y-pos ranura/posicion · U2-libre-+Y-paso ranura/paso · U2-libre--Y-pos ranura/posicion · U2-libre--Y-paso ranura/paso","—"
26,"Transfer cross channel 2""×1-1/2"" 12 GA × 378.04",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" conformada, galvanizada",NBT90-26,"tol. gral. ISO 2768-mK · conjunto soldado ISO 13920-BF · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a1.86 AWS D1.3/D1.3M","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U1-motriz-+Y lengueta/posicion · U1-libre-+Y lengueta/posicion · U1-tope-+Y tope/tope","—"
27,"Transfer cross channel 2""×1-1/2"" 12 GA × 378.04",1,MÓVIL,FABRICADA,"Chapa de acero 0.105"" conformada, galvanizada",NBT90-27,"tol. gral. ISO 2768-mK · conjunto soldado ISO 13920-BF · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a1.86 AWS D1.3/D1.3M","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U1-motriz--Y lengueta/posicion · U1-libre--Y lengueta/posicion · U1-tope--Y tope/tope","—"
28,"Transfer roller guard 14 GA 370×118",1,MÓVIL,FABRICADA,"Chapa de acero 0.075"", galvanizada",NBT90-28,"tol. gral. ISO 2768-mK · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
29,"Casquillo separador Ø17.46 × 18.34",1,FIJO,COMPRADA,"Componente del conjunto Hytrol B-20760 «1.9 in. OD Galv Return Roller — ABEC-1» (no se suministra suelto)",—,"eje 1/2"" estirado en frío con hilo interior 1/4-20 ED&T; tapas y casquillos mecanizados","—","—","—","—"
30,"Casquillo separador Ø17.46 × 18.35",1,FIJO,COMPRADA,"Componente del conjunto Hytrol B-20760 «1.9 in. OD Galv Return Roller — ABEC-1» (no se suministra suelto)",—,"eje 1/2"" estirado en frío con hilo interior 1/4-20 ED&T; tapas y casquillos mecanizados","—","—","—","—"
31,"Eje de rodillo de retorno Ø12.7 × 457.14",1,FIJO,COMPRADA,"Componente del conjunto Hytrol B-20760 «1.9 in. OD Galv Return Roller — ABEC-1» (no se suministra suelto)",—,"eje 1/2"" estirado en frío con hilo interior 1/4-20 ED&T; tapas y casquillos mecanizados","—","—","—","—"
32,"Eje de rodillo Ø12.7/Ø8 × 378.04",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
33,"Eje de rodillo Ø12.7/Ø8 × 378.04",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
34,"Eje de rodillo Ø12.7/Ø8 × 378.04",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
35,"Eje de rodillo Ø12.7/Ø8 × 378.04",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
36,"Eje de rodillo Ø12.7/Ø8 × 378.04",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
37,"Eje de rodillo Ø12.7/Ø8 × 378.04",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
38,"Eje polea Ø5/8"" g6 × 68.4",1,MÓVIL,FABRICADA,"Acero SAE 1045 rectificado",NBT90-29,"tol. gral. ISO 2768-fH · Ø15,875 (5/8"") g6 · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø15,875 (5/8"") g6 (carga ESTACIONARIA sobre el aro interior ⇒ deslizante) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
39,"Eje polea Ø5/8"" g6 × 68.4",1,MÓVIL,FABRICADA,"Acero SAE 1045 rectificado",NBT90-30,"tol. gral. ISO 2768-fH · Ø15,875 (5/8"") g6 · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø15,875 (5/8"") g6 (carga ESTACIONARIA sobre el aro interior ⇒ deslizante) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
40,"Eje polea Ø5/8"" g6 × 68.4",1,MÓVIL,FABRICADA,"Acero SAE 1045 rectificado",NBT90-31,"tol. gral. ISO 2768-fH · Ø15,875 (5/8"") g6 · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø15,875 (5/8"") g6 (carga ESTACIONARIA sobre el aro interior ⇒ deslizante) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
41,"Eje polea Ø5/8"" g6 × 68.4",1,MÓVIL,FABRICADA,"Acero SAE 1045 rectificado",NBT90-32,"tol. gral. ISO 2768-fH · Ø15,875 (5/8"") g6 · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø15,875 (5/8"") g6 (carga ESTACIONARIA sobre el aro interior ⇒ deslizante) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
42,"Eje polea Ø5/8"" g6 × 68.4",1,MÓVIL,FABRICADA,"Acero SAE 1045 rectificado",NBT90-33,"tol. gral. ISO 2768-fH · Ø15,875 (5/8"") g6 · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø15,875 (5/8"") g6 (carga ESTACIONARIA sobre el aro interior ⇒ deslizante) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
43,"Eje polea Ø5/8"" g6 × 73.5",1,MÓVIL,FABRICADA,"Acero SAE 1045 rectificado",NBT90-34,"tol. gral. ISO 2768-fH · Ø15,875 (5/8"") g6 · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø15,875 (5/8"") g6 (carga ESTACIONARIA sobre el aro interior ⇒ deslizante) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
44,"NEUMÁTICA · Cilindro MGPM80-10Z — placa móvil 198×75×22",1,MÓVIL,COMPRADA,"SMC serie MGP — MGPM80-10Z, cilindro compacto con guías Ø80, carrera 10 mm, casquillo de deslizamiento, con imán",—,"roscas de montaje M12 × 1,75 (patrones MM 180 × 54 y NN 174 × 52); puertos Rc 3/8 (ISO 7-1)","—","—","—","—"
45,"NEUMÁTICA · Cilindro MGPM80-10Z — varilla guía Ø25 × 93",1,MÓVIL,COMPRADA,"SMC serie MGP — MGPM80-10Z, cilindro compacto con guías Ø80, carrera 10 mm, casquillo de deslizamiento, con imán",—,"roscas de montaje M12 × 1,75 (patrones MM 180 × 54 y NN 174 × 52); puertos Rc 3/8 (ISO 7-1)","—","—","—","—"
46,"NEUMÁTICA · Cilindro MGPM80-10Z — varilla guía Ø25 × 93",1,MÓVIL,COMPRADA,"SMC serie MGP — MGPM80-10Z, cilindro compacto con guías Ø80, carrera 10 mm, casquillo de deslizamiento, con imán",—,"roscas de montaje M12 × 1,75 (patrones MM 180 × 54 y NN 174 × 52); puertos Rc 3/8 (ISO 7-1)","—","—","—","—"
