plano,pieza,x_mm,y_mm,diametro_mm
CUD-05,"FAB · Refuerzo externo superior C60°",79.50,1303.04,11.00
CUD-05,"FAB · Refuerzo externo superior C60°",26.96,27.96,11.00
CUD-05,"FAB · Refuerzo externo superior C60°",206.05,696.35,11.00
CUD-05,"FAB · Refuerzo externo superior C60°",206.05,738.75,11.00
CUD-05,"FAB · Refuerzo externo superior C60°",26.96,1407.14,11.00
CUD-06,"FAB · Refuerzo interno superior C60°",54.09,82.64,11.00
CUD-06,"FAB · Refuerzo interno superior C60°",125.71,349.94,11.00
CUD-06,"FAB · Refuerzo interno superior C60°",125.71,514.06,11.00
CUD-06,"FAB · Refuerzo interno superior C60°",54.09,781.36,11.00
CUD-06,"FAB · Refuerzo interno superior C60°",26.87,28.02,11.00
CUD-06,"FAB · Refuerzo interno superior C60°",129.43,410.80,11.00
CUD-06,"FAB · Refuerzo interno superior C60°",129.43,453.20,11.00
CUD-06,"FAB · Refuerzo interno superior C60°",26.87,835.98,11.00
